str_no_string|NO STRING!
str_auto_team_balance_threshold_is_reg0|Порог автобаланса команд: {reg0}.
str_starting_gold_ratio_is_reg0|Стартовый уровень золота: {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Бонусное золото в бою: {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Бонусное золото за раунд: {reg0}%.
str_point_gained_from_flags_is_reg0|Командные очки за флаги: {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Командные очки за захват флагов: {reg0}%.
str_map_time_limit_is_reg0|Предел времени игры на карте (в минутах): {reg0}.
str_team_points_limit_is_reg0|Предел командных очков: {reg0}.
str_defender_spawn_count_limit_is_s1|Число возрождений защитников: {s1}.
str_system_error|ОШИБКА СИСТЕМЫ!
str_prisoner_granted_parole|Пленника принимают как гостя
str_prisoner_not_offered_parole|Пленника не принимают как гостя
str__age_reg1_family_|^Возраст: {reg1}^Семья: 
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}), отн: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
str_lord_info_string|{reg6?:{reg4?{s54} - правитель страны {s56}.^:{s54} - вассал {s55} из {s56}.^}}Слава: {reg5}. Разногласия: {reg15}. Репутация: {s68}^{reg9?{reg3?Она:Он} правитель в {s58}.:{reg3?Она:Он} не имеет наделов.}{s59}^{s49} Богатство: {reg17} Солдаты: {reg37}. Идеальный размер армии: {reg38} ({reg39}%).^{s49}
str_lord_info_string_short|{reg6?:{reg4?{s54} - правитель страны {s56}.^:{s54} - вассал {s55} из {s56}.^}}Слава: {reg5}. Разногласия: {reg15}. Репутация: {s68}^{reg9?{reg3?Она:Он} правитель в {s58}.:{reg3?Она:Он} не имеет наделов.}{s59}^{s49}
str_foreign_relations__|Внешние отношения: ^
str_s21__the_s5_is_at_war_with_the_s14|{s21}^* {s5} воюет с {s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} {s5} одерживает верх в бою.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} {s5} терпит поражение в бою.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} Сражения стихли, вскоре война может завершиться перемирием.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21} Бои начались не столь давно, война еще только разгорается.
str__however_the_truce_is_no_longer_binding_on_the_s14| Впрочем, перемирие более не связывает {s14}
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^* Из-за перемирия {s5} не может атаковать {s14}.{s18} Это перемирие истечет через {reg1} дней.
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^* {s5} подвергается провокациям со стороны {s14} и может вот-вот начать войну.
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^* {s5} нейтрально с {s14}.
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21} Недавно жители {s14} пострадали от провокаций со стороны {s5}, страна находится на грани войны.
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5} принадлежит {s6}. Маршал {s68}^Владения: {s8}.^Вассалы: {s10}.^^{s21}
str_reg4_killed_reg5_wounded_reg6_routed|убито: {reg4}, ранено: {reg5}, сбежало: {reg6}
str_reg4_killed_reg5_routed|убито: {reg4}, сбежало: {reg5}
str_reg4_killed_reg5_wounded|убито: {reg4}, ранено: {reg5}
str_reg4_wounded_reg5_routed|ранено: {reg4}, сбежало: {reg5}
str_s42|{s42}
str_s4_awarded_to_s5|{s4} переходит {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|Расчет похода для {s4}, сила {reg3} против {reg4} у врагов
str_current_wealth_reg1_taxes_last_collected_from_s4|Текущее богатство: {reg1}. Последние налоги собраны с {s4}.
str_s4_has_reg4_chance_of_recruiting_troops|{s4} может нанять войска с вероятностью {reg4}.
str_s4_has_reg4_chance_of_going_to_s5|{s4} может пойти в {s5} с вероятностью {reg4}.
str_s4_has_reg5_chance_of_patrolling_s6|{s4} может приступить к обходу {s6} с вероятностью {reg5}.
str_s4_has_reg5_chance_of_raiding_s6|{s4} может приступить к налету на {s6} с вероятностью {reg5}.
str_s4_has_reg5_chance_of_besieging_s6|{s4} может приступить к осаде {s6} с вероятностью {reg5}.
str_sum_chances_reg6|Общие шансы: {reg6}
str_deciding_faction_ai_for_s3|Определяем ИИ фракции для {s3}
str_lords_of_the_s1_gather_for_a_feast_at_s2|Правители {s1} собираются на пир в {s2}.
str_players_kingdom_has_had_reg3_days_of_peace|Мирные дни королевства игрока: {reg3}
str_s4_is_present_at_the_center_and_is_attending_the_feast|{s4} сейчас в центре и присутствует на празднике.
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private|{s4} сейчас в центре и ждет игрока в кулуарах.
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player|{s4} сейчас в центре и имеет разрешение на встречу с игроком.
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player|{s4} сейчас в центре и не имеет разрешения на встречу с игроком.
str_no_relation|нет семейных уз
str_niece|племянница
str_nephew|племянник
str_aunt|тетя
str_uncle|дядя
str_cousin|двоюродная родня
str_daughterinlaw|невестка
str_soninlaw|зять
str_motherinlaw|свекровь
str_fatherinlaw|свекор
str_sisterinlaw|свояченица
str_brotherinlaw|шурин
str_print_party_members_entered|распечатать введенных членов группы
str_num_companion_stacks_=_reg10|число групп спутников = {reg10}
str_someone|некто
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|Я, {reg63?милостивый господин:милостивая госпожа}, берусь за любую работу, какую дадут. Воду ношу, помогаю торговцам с товарами, строить тоже могу, если нужно. 
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|Я, {reg63?милостивый господин:милостивая госпожа}, ничем особенным не занимаюсь. Последнее время у нас тут вовсе работы не стало. 
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|Я, {reg63?милостивый господин:милостивая госпожа}, ничем особенным не занимаюсь. Земли у меня нет, а работы в последнее время не найти. 
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|А что, я по-прежнему живу из вашей милости, {reg63?милостивый господин:милостивая госпожа}. Остается надеяться, что в скорости у вас найдется кое-какая работенка.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|Я работаю на полях, сразу за стенами - там хлеб растят. Но своего зерна нам никогда не хватает - приходится привозить его из соседних деревень. 
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|Я обычно работаю в поле, зерно сею. В городе его мелют и делают хлеб и эль, а мы еще и кашу из него, понятное дело, варим. 
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|Я на пивоварне работаю - делаю эль. Простой народ частенько его пьет, он же много дешевле вина. А зерно для эля мы покупаем по деревням.
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|Я на мельнице работаю - муку молю для хлеба. Хлеб дешевый, хранится неплохо, и брюхо наполняет только так. 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|Я скотом занимаюсь: мы вялим и солим мясо, а шкуры отправляем в город - там их обрабатывают. Еще мы сыр из молока делаем. 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|Я скотом занимаюсь: мы вялим и солим мясо, а шкуры отправляем в город - там их обрабатывают. Еще мы сыр из молока делаем. 
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|Я держу овец. Мы отправляем шерсть в город - там ее прядут и ткут. А часть баранов забиваем на мясо - делаем из них колбасу и все такое. 
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|Я тку шерстяные ткани. Дешевле шерстяной одежды ничего не найдешь, а она ведь самая теплая!
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|У меня есть лодка, и мы занимаемся рыболовством. Мы солим и коптим рыбу, а потом отправляем ее в далекие края.
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|Я добываю соль с отмели. Соль - она всем нужна, кроме того, без нее ни мясо, ни рыбу не сохранишь. 
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|Я добываю железо из жилы в соседних холмах. Без железа ни инструментов, ни оружия, ничего не сделаешь. 
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|Я делаю горшки - в них можно хранить зерно и держать воду. 
str_trade_explanation_tools|Я работаю в кузне, {reg63?господин мой:госпожа моя}, могу выковать все, что только можно сделать из железа: ножи, топоры, горшки, орала, косы, молоты, наковальни, клещи, тесла, пилы, иглы, подковы, огнива, жаровни и, разумеется, гербы и доспехи для вашей светлости. 
str_trade_explanation_oil|Я работаю на маслобойном прессе - получаю масло из оливок, которые мне привозят из деревни. Масло это страшно полезное и в готовке, и лампы с ним можно жечь, и роды оно облегчает. Одна беда - очень оно дорогое.
str_trade_explanation_linen|Я пряду лен из кудели, которую собирают со всех окрестностей. Ткань получается прочная, легкая, она хороша для летней одежды, для парусов и всего такого. 
str_trade_explanation_velvet|Я работаю в огромной ткацкой мастерской - мы делаем знаменитый бархат, которым так славится наш город. Для работы мы используем шелк, который привозят из-за гор, и краски чуть ли не с края земли и делаем из них самую прекрасную и самую дорогую ткань, какую только можно найти на белом свете.
str_trade_explanation_spice|Я работаю в караван-сарае, помогаю купцам разгружать пряности, которые они привозят из-за гор. Перец, корица, гвоздика, шафран... Богатые люди, чтобы показать свое могущество, добавляют пряности в еду, а некоторые говорят, что ими можно исцелить любую болезнь. 
str_trade_explanation_apples|Я как раз иду из яблоневого сада. Мы сушим яблоки, чтобы они долго хранились, а еще из них можно гнать сидр или уксус. 
str_trade_explanation_grapes|Я работаю на винограднике на холме. Из винограда мы делаем прекрасные вина, которые попадают на стол благородным лордам и богатым купцам, а также дешевое вино, которое простой народ смешивает с водой. 
str_trade_explanation_dyes|Я работаю в караван-сарае - разгружаю краски, которые привозят в Пендор издалека: красные краски из кошенили и красных корней марены, синие из индиго и побегов вайды, желтые из дрока. Ткачи окрашивают ими шелка и бархат для знатнейших людей наших земель. 
str_trade_explanation_leatherwork|Я работаю в дубильне сразу за стенами города - делаю из шкур отличную, мягкую кожу. Работа тяжелая, запах страшный, но без этого не было бы у вас, {reg63?господин мой:госпожа моя}, ни башмаков, ни седла, ни узды. 
str_trade_explanation_flax|Я сею лен, жну, мочу, а потом делаю кудель. Вот откуда берутся все ваши льняные одежды, {reg63?господин мой:госпожа моя} - из вонючей ямы на краю поля. 
str_trade_explanation_dates|Я ухаживаю за финиковой рощей. Мы поливаем деревья колодезной водой. Финики мы продаем по всей земле - если их высушить как следует, с ними ничего за много месяцев не сделается. Они сладкие, как мед, а ежели будете их регулярно есть, будет у вас и сила, и здоровье.
str_trade_explanation_olives|У меня есть оливковая роща. Оливки можно солить, но обычно их отправляют под пресс - давят из них масло.
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14} Говорят, в {s15} за такие товары дают хорошую цену.
str_s2s_rebellion|Восстание {s2}
str_political_suggestion|Политическое предложение
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Рост напряженности: {reg0}% лордов выражают недовольство, {reg1}% неспокойны
str_reg1shehe_is_prisoner_of_s1|{reg1?Она:Он} заложник {s1}
str_s39_rival|{s39} (соперник)
str_s41_s39_rival|{s41}, {s39} (соперник)
str_love_interest|любовный интерес
str_betrothed|помолвка
str_other_relations_s40_|Другие отношения: {s40}^
str_relation_with_liege_reg0_|Отношения с сюзереном: {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|Уверенность в собственной безопасности: военной - {reg1}, при дворе - {reg3}^
str_political_details_s47_|Детали политики:^{s47}^
str_the_s55|{s55}
str_travellers_on_the_road|путников на дороге
str_a_short_while_ago|некоторое время назад
str_one_day_ago|один день назад
str_two_days_day_ago|два дня назад
str_earlier_this_week|на этой неделе
str_about_a_week_ago|с неделю назад
str_about_two_weeks_ago|недели две назад
str_several_weeks_ago|несколько недель назад
str_unknown_assailants|неизвестные нападающие
str_swadians|Сарлеонцы
str_vaegirs|Равенстернцы
str_khergits|Д'Шар
str_nords|Фирдсвейны
str_rhodoks|Имперцы Баккус
str_bandits|разбойники
str_deserters|дезертиры
str_your_followers|ваши последователи
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|До нас дошли слухи, что путники, направлявшиеся в {s40}, были атакованы на дороге у {s46} {s39}
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|До нас дошли слухи, что путники, направлявшиеся из {s40}, были атакованы на дороге у {s46} {s39}
str_travellers_coming_from_s40_traded_here_s46|Путники из {s40} продавали здесь {s46}
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|Караванный сезон только начинается, так что торговать пока что почти нечем.{s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|В последнее время торговля тут почти заглохла.{s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|В последнее время тут торговали, но очень неактивно.{s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|В последнее время тут торговали, но дороги сейчас очень опасны.{s42}
str_the_roads_around_here_are_very_dangerouss42|Дороги здесь очень опасны.{s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|В этом городе собирается множество торговцев, хотя дороги тут небезопасны.{s42}
str_we_have_received_many_traders_in_town_heres42|В этом городе собирается очень много торговцев.{s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|О караванных путях у городов {s44} и в соседних районах нет никаких особенных новостей. Впрочем, их отсутствие - это уже хорошо. Будем считать, что там сравнительно безопасно.
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47} Таким образом, дороги к деревням {s44} и другим лежащим на отшибе деревушкам сравнительно безопасны.
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|Тем не менее, дороги к деревням {s44} и другим лежащим на отшибе деревушкам сравнительно безопасны.
str_we_have_shortages_of|Нам не хватает следующих товаров:
str_we_have_adequate_stores_of_all_commodities|У нас всех товаров в достатке
str_s33_and_some_other_commodities|{s33} и некоторых других товаров
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|На дорогах сейчас полно мерзавцев, но это имя мне ничего не говорит. В любом случае, доброй вам охоты. 
str_less_than_an_hour_ago|меньше года назад
str_maybe_reg3_hours_ago|около {reg3} часов назад
str_reg3_days_ago|{reg3} дней назад
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|Вам повезло - мы видели этих подлых {s16} неподалеку от {s17}. Если поторопитесь, успеете отыскать их по горячим следам.
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|Вы собираетесь претендовать на престол. Отлично. Что может быть лучше, чем добрая битва за правое дело. 
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|Вы собираетесь претендовать на престол. Понятное дело, ничего лучше битвы за правое дело быть не может, но ваши претензии на корону довольно безосновательны.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|Приятно слышать, что вы готовы поддержать мои законные притязания - в наши горестные времена немногие готовы пойти на это.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|Приятно слышать, что вы готовы поддержать мои законные притязания. Но порой люди дают слишком поспешные клятвы, которых не могут выполнить, когда становятся королями.
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|Вы говорите о защите простолюдинов. Пожалуй, это благая цель, но порой простолюдины переходят границы. Меня более беспокоит то, насколько обоснованны ваши притязания с точки зрения законности: если они незаконны, я не смогу поддерживать вас без угрызений совести.
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|Вы собираетесь подарить мне землю. Неплохо. Мне не нужно больше чем то, что должно быть моим по праву.
str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|Вы собираетесь подарить мне землю. К сожалению, ходят слухи, что вы не слишком спешите выполнять подобные обещания.
str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|Вы собираетесь объединить Пендор. Что ж, раз уж мы и без того постоянно сражаемся, лучше биться за правое дело.
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|Вы собираетесь претендовать на престол, но я считаю, что спорить из-за наследства - это, скорее, дело сутяг и крючкотворов.
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|Вы говорите о справедливом правлении. Хм! В справедливых королей я поверю, только если увижу хотя бы одного своими глазами.
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|Вы говорите о защите прав знати. Если вы действительно защитите их, вы станете первым за долгое время правителем, который пошел на это.
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|Вы собираетесь подарить мне землю. Ну что ж, посмотрим, как вы выполните свое обещание.
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|Вы собираетесь подарить мне землю. Вопрос только в том, насколько вы верны своим обещаниям...
str_you_speak_of_unifying_calradia_well_youve_done_a_good_job_at_making_calradia_bend_its_knee_to_you_so_maybe_thats_not_just_talk|Вы собираетесь объединить Пендор. Что ж, вы немало сделали, чтобы Пендор склонился перед вами, так что, пожалуй, это не пустые слова.
str_you_speak_of_unifying_calradia_id_be_impressed_if_i_thought_you_could_do_it_but_unfortunately_you_dont|Вы собираетесь объединить Пендор. Если бы я был уверен в ваших силах, меня бы это впечатлило. Но я, к сожалению, не уверен.
str_you_speak_of_claims_to_the_throne_well_any_peasant_can_claim_to_be_a_kings_bastard|Вы собираетесь претендовать на престол. Что ж, объявить себя незаконнорожденным сыном короля может любой крестьянин.
str_well_its_a_fine_thing_to_court_the_commons_with_promises_but_what_do_you_have_to_offer_me|Что ж, раздавать обещания простолюдинам - это неплохо, но что вы готовы предложить мне?
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected|Вы говорите о защите прав знати. Если мои права будут уважать, то это уже неплохо.
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected_however_it_is_easy_for_you_to_make_promises_while_you_are_weak_that_you_have_no_intention_of_keeping_when_you_are_strong|Вы говорите о защите прав знати. Если мои права будут уважать, то это уже неплохо. Однако легче раздавать обещания, пока вы слабы, нежели выполнять их, когда вы придете к власти.
str_you_speak_of_giving_me_land_well_my_family_is_of_ancient_and_noble_lineage_so_you_promise_me_no_more_than_my_due_still_your_gesture_is_appreciated|Вы собираетесь подарить мне землю. Я потомок старинного, благородного семейства, так что вы обещаете то, что уже принадлежит мне по праву. Впрочем, я ценю ваше обещание.
str_you_speak_of_giving_me_land_well_you_make_that_pledge_but_i_am_not_impressed|Вы собираетесь подарить мне землю. Но раздавать обещания легко, и меня они не впечатляют.
str_you_speak_of_unifying_calradia_well_much_of_this_land_now_bends_its_knee_to_you_so_perhaps_that_is_not_just_talk|Вы собираетесь объединить Пендор. Что ж, перед вами склонилась большая ее часть, так что, пожалуй, это не пустые слова.
str_you_speak_of_unifying_calradia_but_right_now_yours_is_just_one_squabbling_faction_among_many|Вы собираетесь объединить Пендор, но в данный момент вы возглавляете лишь одну из многочисленных группировок, спорящих за власть.
str_you_speak_of_claims_well_no_offense_but_a_claim_unsupported_by_might_rarely_prospers|Вы претендуете на многое. Не в обиду будет сказано, но без реальной силы из притязаний редко выходит что-то дельное.
str_you_speak_of_protecting_the_commons_well_i_suppose_that_will_make_for_a_more_prosperous_realm_ive_always_tried_to_treat_my_peasants_decently_saves_going_to_bed_worrying_about_whether_youll_wake_up_with_the_roof_on_fire|Вы говорите о защите простолюдинов. Пожалуй, так действительно можно создать процветающее королевство. Я всегда старался обращаться со своими крестьянами достойно - так можно меньше опасаться бунтов и поджогов.
str_you_speak_of_protecting_the_commons_very_well_but_remember_that_peasants_are_more_likely_to_cause_trouble_if_you_make_promises_then_dont_deliver_than_if_you_never_made_the_promise_in_the_first_place|Вы говорите о защите простолюдинов. Превосходно. Но помните: крестьяне охотнее бунтуют, когда данные им обещания не выполняются, чем когда им вообще ничего не обещают.
str_you_speak_of_protecting_the_rights_of_lords_good_youd_be_well_advised_to_do_that__men_fight_better_for_a_king_wholl_respect_their_rights|Вы говорите о защите прав знати. Это хорошо - люди сражаются охотнее за того короля, который уважает их права.
str_you_speak_of_protecting_the_rights_of_lords_very_well_but_remember__failing_to_keep_promises_which_you_made_while_scrambling_up_the_throne_is_the_quickest_way_to_topple_off_of_it_once_you_get_there|Вы говорите о защите прав знати. Это неплохо. Но помните - не выполнив обещаний, гораздо легче свалиться с трона, чем взбираться на него, раздавая эти обещания.
str_you_speak_of_giving_me_land_very_good_but_often_i_find_that_when_a_man_makes_too_many_promises_trying_to_get_to_the_top_he_has_trouble_keeping_them_once_he_reaches_it|Вы собираетесь подарить мне землю. Неплохо. Но я слишком часто видел, как в борьбе за власть люди раздавали обещания, а потом, достигнув своей цели, их не выполняли.
str_you_speak_of_unifying_calradia_well_many_have_said_that_you_might_very_well_be_the_one_to_do_it|Вы собираетесь объединить Пендор. Об этом многие говорили, но вдруг вы тот самый человек, кому это удастся сделать на самом деле?
str_you_speak_of_unifying_calradia_well_all_the_kings_say_that_im_not_sure_that_you_will_succeed_while_they_fail|Вы собираетесь объединить Пендор. Все короли говорят об этом. Не думаю, что именно вам должно повезти, тогда как другие потерпели неудачу. 
str_you_speak_of_claims_do_you_think_i_care_for_the_nattering_of_lawyers|Вы говорите о своих притязаниях. Вы и в самом деле полагаете, что меня интересуют какие-то судебные тяжбы?
str_you_speak_of_protecting_the_commons_how_kind_of_you_i_shall_tell_my_swineherd_all_about_your_sweet_promises_no_doubt_he_will_become_your_most_faithful_vassal|Вы говорите о защите простолюдинов. Как мило! Пожалуй, мне следует рассказать об этом своему свинопасу. Не сомневаюсь, что он станет самым верным вашим вассалом.
str_you_speak_of_protecing_the_rights_of_lords_such_sweet_words_but_ill_tell_you_this__the_only_rights_that_are_respected_in_this_world_are_the_rights_to_dominate_whoever_is_weaker_and_to_submit_to_whoever_is_stronger|Вы говорите о защите прав знати. Красивые слова! Но знаете что единственное уважаемое право в этом мире - это право властвовать слабыми и подчинять сильных.
str_you_speak_of_giving_me_land_yes_very_good__but_you_had_best_deliver|Вы собираетесь подарить мне землю. Очень хорошо! Но лучше вам выполнить обещание...
str_you_speak_of_giving_me_land_hah_perhaps_all_those_others_to_whom_you_promised_lands_will_simply_step_aside|Вы собираетесь подарить мне землю. Ха! А все остальные, кому вы уже наобещали того же, просто потеснятся?
str_you_speak_of_unifying_calradia_you_may_indeed_humble_the_other_kings_of_this_land_and_in_that_case_i_would_hope_that_you_would_remember_me_as_your_faithful_servant|Вы собираетесь объединить Пендор. Надеюсь, вам и в самом деле удастся подчинить остальных королей этой земли. И в таком случае не забывайте, что я всегда был вам верен.
str_you_speak_of_unifying_calradia_but_you_are_weak_and_i_think_that_you_will_remain_weak|Вы собираетесь объединить Пендор. Но вы слабы, и, боюсь, останетесь слабыми.
str_you_speak_of_claims_its_good_for_a_king_to_have_a_strong_claim_although_admittedly_im_more_concerned_that_he_rules_just_ly_than_with_legalities_anyway_your_claim_seems_wellfounded_to_me|Вы говорите о притязаниях. Неплохо, когда у короля сильная поддержка, хотя лучше было бы, чтобы он просто действовал по закону. В любом случае, ваши притязания кажутся мне обоснованными.
str_you_speak_of_claims_but_your_claim_seems_a_bit_weak_to_me|Вы говорите о притязаниях, но они не кажутся мне такими уж обоснованными.
str_you_speak_of_protecting_the_commons_i_like_that_my_tenants_are_a_happy_lot_i_think_but_i_hear_of_others_in_other_estates_that_arent_so_fortunate|Вы говорите о защите простолюдинов. Мне это по нраву. Мои крестьяне не бедствуют, но я слышал, что в других поместьях дела обстоят не настолько благополучно.
str_you_speak_of_protecting_the_commons_im_glad_to_hear_you_say_that_but_do_me_a_favor__dont_promise_the_commons_anything_you_cant_deliver_thats_a_sure_way_to_get_them_to_rebel_and_it_breaks_my_heart_to_have_to_put_them_down|Вы говорите о защите простолюдинов. Рад был услышать такие слова. Но окажите услугу - не обещайте простолюдинам того, чего не сможете выполнить. Это прямая дорога к бунту, а мне будет неприятно их усмирять.
str_you_speak_of_protecting_the_rights_of_lords_well_very_good_i_suppose_but_you_know__we_lords_can_take_of_ourselves_its_the_common_folk_who_need_a_strong_king_to_look_out_for_them_to_my_mind|Вы говорите о защите прав знати. Вроде бы неплохо. Но знайте, что мы, лорды, можем и сами о себе позаботиться. Мне кажется, что сильный король, прежде всего, нужен простолюдинам.
str_you_speak_of_giving_me_land_its_kind_of_you_really_though_that_is_not_necessary|Вы собираетесь подарить мне землю. Спасибо. Впрочем... я не слишком в ней нуждаюсь.
str_you_speak_of_unifying_calradia_well_maybe_you_can_unite_this_land_by_the_sword_but_im_not_sure_that_this_will_make_you_a_good_ruler|Вы собираетесь объединить Пендор? Может, у вас и получится собрать эти земли мечом. Но я не уверен, что из вас выйдет хороший правитель.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_and_yours_is_wellestablished|Вы говорите о притязаниях. Чтобы в стране не воцарился хаос, у короля должна быть неплохая законная поддержка, и она у вас есть.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_but_your_claim_is_not_so_strong|Вы говорите о притязаниях. Чтобы в стране не воцарился хаос, у короля должна быть неплохая законная поддержка, но ее у вас нет.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice|Вы говорите о защите прав знати. Конечно, важно, чтобы король уважал права своих вассалов, но, боюсь, тот, кто сам занял трон не по праву, не способен к справедливому правлению.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises|Вы говорите о защите прав знати. Конечно, важно, чтобы король уважал права своих вассалов. Но я хотел бы знать, что вы и в самом деле выполните свои обещания.
