qstr_Next_Page|Следующая страница
qstr_Well_as_it_so_happen|Ну,так бывает. Бандиты из Красного Братства разграбили караван купцов, которые привозили мне шелк. Если вы согласитесь продать мне тот плащ, который я вам ранее пошила, то я смогу выпонить несколько заказов, что мне поручены. Я дам хорошую цену. Если пожелаете заказать еще один плащ, то я с удовольствием выпоню ваш заказ.
qstr_I_have_already_shown|Я уже показал вам местоположение шахт Аль-Азиз, мне нечего предложить вам, кроме моих книг!
qstr_I_can_show_you_where|Я могу показать вам, где расположены скрытые шахты Аль-Азиз в обмен на большой мешочек с драгоценностями.^Я отмечу это место на вашей карте и таким образом, вы сможете войти туда и исследовать их.
qstr_Oh!_Yes_that_s_right|О! Да, это правда! Очень много сильной выпивки плохо повлияло на мою память... Еще раз, как вас зовут?
qstr_I_do_not_have_such_a|У меня нет драгоценностей для сделки.
qstr_No_I_am_not_interest|Нет, эта карта пока мне не интересна.
qstr__You_have_discovered| Вы обнаружили скрытое местоположение Аль-Азиз!
qstr_^Unfortunately_after|^К сожалению, после трех применений, эти чудодейственные алхимические эликсиры теряет свою эффективность вдвое.
qstr__Your_Strength_Agili| Ваша сила, ловкость и харизма увеличились на {reg2}.
qstr__Your_weapon_profici| Ваше мастерство владения оружием увеличилось на {reg3}.
qstr__Your_Intelligence_h| Ваш интеллект увеличился на {reg2}.
qstr__{s5}_s_Strength_Agi| Ваш соратник {s5} увеличил свою силу, ловкость и харизму!
qstr__{s5}_s_Intelligence| Ваш соратник {s5} увеличил свой интеллект!
qstr__{s5}_s_weapon_profi| Ваш соратник {s5} улучшил своё оружейное мастерство!
qstr_The_scribe_asked_you|Писец попросил вас проверить старую легенду о заброшенном замке {s54}.
qstr_Speak_with_the_villa|Поговорите со старейшиной деревни, чтобы узнать больше.
qstr_Vorador_further_sugg|Ворадор предположил, что долина расположена в центральном районе Пендора, но в то же время она довольно далека от проезжих путей, так как мало кто знает о ее существовании. Это, кажется, хорошее место для создания небольшой постоянной базы.
qstr_The_valley_need_some|Долина нуждается в хорошем обустройстве. Для этого потребуются квалифицированные рабочие и {s54} вполне подходит для их поиска.
qstr_{s16}_They_also_say_|{s16} также говорят, что она славится своей красотой.
qstr_A_villager_from_{s7}|Жители деревни {s7} просят избавить их от засевших в деревне бандитов.
qstr_If_ye_be_looking_for|Если вы ищите охотников за головами, {reg63?сэр:госпожа}, {reg3?я и {reg4?{reg3} моих помощников:мой помощник} ищем:Я ищу} способного лидера.
qstr_Well_met_my_{reg63?L|Приятная встреча, {reg63?милорд:миледи}. Если вы ищете воинов, то ваши поиски окончились! {reg3?Я и {reg4?{reg3} моих товарищей:один мои товарищ} ищем:Я ищу} хорошую зарплату и возможность заработать своими копьями.
qstr_Well_met_my_{reg63?Lo|Приятно встретиться, {reg63?милорд:миледи}. {reg3?Я и {reg4?{reg3} моих друзей:один из моих друзей}:я} ищем приключений и способного предоставить их капитана.
qstr_Aye_{reg63?Lord:Lady|Да, {reg63?лорд:леди}. {reg3?Я и {reg4?{reg3} моих братьев по топору:один из моих братьев по топору}:Я} ищем ярла, который заполнит наши животы вином, а карманы - золотом.
qstr_We_are_Jatu_{reg63?L|Мы - Джату, {reg63?лорд:леди}. {reg3?Я и {reg4?{reg3} моих братьев по охоте:один из моих братьев по охоте}:Я} ищем вожака рейда, который поведёт наши копья к славе.
qstr_Well_met_{reg63?Lord|Приветствую, {reg63?лорд:леди}-эорл. {reg3?Я и {reg4?{reg3} моих братьев-горцев:один из моих братьев-горцев}:Я} ищем капитана, который достоин командовать нашими клинками.
qstr_Aya_good_{reg63?Lord|А-а, прекрасно, {reg63?лорд:леди}. {reg3?Я и {reg4?{reg3} моих приятелей:один из моих приятелей}:Я} ищем как бы улучшить свой жизненный жребий. Мы с радостью последуем за тобой, если ты дашь нам шанс.
qstr_Hail_good_{reg63?Lor|Возрадуйся, хорош{reg63?ий лорд:ая леди}. {reg3?Я и {reg4?{reg3} из моих сестер:одна из моих сестер}:я} ищем хорошего капитана, чтобы служить ему.
qstr_Hai_{reg63?Lord:Lady|Хай, {reg63?лорд:леди}-капитан! {reg3?Я и {reg4?{reg3} моих компаньонов:один из моих компаньонов}:Я} хотим служить под началом известного искателя приключений, который поведёт нас к славе по этим странным землям.
qstr_Salute_{reg63?Lord:L|Славься, {reg63?лорд:леди}-капитан! {reg3?Я и {reg4?{reg3} моих сестёр:одна из моих сестёр}:Я} хотим следовать за достойным капитаном, с которым мы могли заработать денег на покупку постельничих рабов.
qstr_Oi!_Sein_Captain!_{r|Уи! Сэйн Капитан! {reg3?Я и {reg4?{reg3} из моих свободных братьев:один мой свободный брат}:} ищем харизматичного, и, можно сказать, Щедрого капитана! {reg3?Мы:Я} ищем возможность {reg3?нашей:моей} доблестью заработать на женщих, песни и вино! 
qstr_Salutations_camarada|Салют, камрад! {reg3?Я и {reg4?{reg3} моих солдатос :один из моих солдатос} } подыскивают себе хитрого и отважного команданте! Такого, который следовал бы правилам Барклая: "Приключения, Слава и Золото!"
qstr_Do_you_have_a_need_f|Вижу, вы нуждаетесь в наемных мечниках, {reg63?сэр:госпожа}. {reg3?Я и {reg4?{reg3} моих помощников:мой помощник} ищем:Я ищу} капитана.
qstr_You_chose_well_{reg6|Отличный выбор, {reg63?сэр:мадам}. Мои парни знают, как держать свое слово и отрабатывать свою плату.
qstr_Well_done_{reg63?sir|Очень хорошо, {reg63?сэр:мадам}. Пока мы получаем деньги и вино, в Пендоре для вас не будет тех, кого нужно бояться.
qstr_We_are_at_your_servi|Мы к вашим услугам, {reg63?господин:госпожа}. Вы только скажите, кого наказать, а остальное мы сделаем сами.
qstr_current_relations_wi|текущие отношения с городом: {reg40}
qstr_The_Guildmaster_of_{|Гильдмастер {s13} просит вас разобраться с грабителями, бродящими по окрестностям, и вернуть украденные товары.
qstr_{s9}_of_{s3}_asked_y|{s9} из {s3} просит доставить {reg5} шт. {s6} в таверну города {s4} за 7 дней.
qstr_Escort_the_merchant_|Сопроводите торговый караван в город {s8}.
qstr_Merchant_{s9}_of_{s4|{s9} из города {s4} просит избавить его от зловредных бандитов, промышляющих в окрестностях города.
qstr_Guildmaster_of_{s4}_|Гильдмастер города {s4} передал вам {reg12} динаров для выкупа девочки, похищенной бандитами. Вы должны встретиться с похитителями около {s3}, выкупить девочку и вернуть ее в город {s4}.
qstr_Guildmaster_of_{s4}_p|Гильдмастер города {s4} обещает вам {reg12} динаров, если вы убедите {s12} и {s13} не мешать мирным переговорам между {s15} и {s14}. Для этого вам придется или убедить их, или держать в плену до заключения мира.
qstr_The_Guildmaster_of_{s|Гильдмастер города {s14} попросил вас разобраться с группой бандитов, терроризирующих улицы по ночам и нападающих только на одиноких прохожих.
qstr_Guildmaster_of_{s10}|Гильдмастер города {s10} поручил вам перегнать стадо в {s13}. Вы получите {reg8} динаров по возвращении.
qstr_Pippa|Пиппа
qstr_Daisy|Дейзи
qstr_Betsy|Бетси
qstr_Princess|Принцесса
qstr_{s5}|{s5}
qstr_He_is_not_commanding|Сейчас он никем не командует.
qstr_He_currently_command|Под его командой {reg0} человек{reg1?, из которых {reg1} ранены:}.
qstr_{s1}_militia_patrol|Патруль ополчения из {s1}
qstr_There_is_no_castle_n|Рядом с {s54} нет замка, но местный староста поведал о руинах у истока местной реки, находящегося где-то в горах.
qstr_You_have_hired_{s2}_|Вы наняли {s2}, квалифицированного строителя, который может помочь вам со строительством. Вам следуется встретиться с ним в {s54} в светлое время суток.
qstr_In_order_to_make_{s5|Чтобы сделать {s54} удобным для проживания, {s2} требует: 3 вьючных коня, 3 набора инструментов, 5 порций вяленого мяса и 1 кувшин эля.
qstr_You_have_provided_re|Вы собрали необходимые ресурсы и материалы. Наймите рабочих (20 {s2}), а затем поговорите со строителем.
qstr_The_construction_is_|Строительство идет. Возвращайтесь через 2 недели.
qstr_{reg63?Sir:Madam}_as|{reg63?Господин:Госпожа}, как вы знаете, у нас нет подходящего места для содержания пленных. Также у нас отсутсвует еда и охрана для них. У меня есть несколько воинов, но они заняты охраной лагеря и патрулируют окрестности в поисках врагов. Поэтому я буду вынужден отпустить всех пленников.^^Что еще я могу сделать для вас?
qstr_What_can_I_do_for_yo|Что я могу сделать для вас, {reg63?господин:госпожа}?
qstr_Hidden_Base:_{s3}_wa|Тайная база: {s3} был назначен мастером над лошадьми.
qstr_Of_course_{reg63?sir|Конечно, {reg63?господин:госпожа}. В случае, если сможете найти для него место - сейчас гарнизон полностью укомплектован.
qstr_Of_course_{reg63?sir:|Конечно, {reg63?господин:госпожа}. В случае если есть место для него - сейчас еще есть место для новых солдат. Наша сила возрастет на {reg34} . Наш гарнизон сейчас составляет: {reg33}.
qstr_Before_you_do_{reg63|Прежде чем, вы это сделаете, {reg63?господин:госпожа}, вы должны знать о недовольстве, охватившем лагерь. Мораль гарнизона стремительно снижается и отношения между солдатами быстро портятся. Это происходит из-за переполненности гарнизона. Я думаю, вскоре начнется дезертирство солдат и даже драки между воинами. Это лишь вопрос времени.^^Сейчас в гарнизоне {reg34} солдат, хотя он рассчитан всего на {reg33} человек.
qstr_Standard_round_shoul|Стандартного раунда вполне достаточно. (100% HP)
qstr_Let_them_have_a_bit_|Давайте покруче! (500% HP)
qstr_I_d_like_a_long_figh|Люблю драку изо всех сил! (1000% HP)
qstr_Otherwise:|Иначе:
qstr___It_would_be_good_t|- Было бы хорошо иметь здесь кузнеца
qstr_{s2}^^{s3}|{s2}^^{s3}
qstr___We_could_make_a_bi|- Мы могли бы сделать немного больше мест для ваших солдат
qstr___A_designated_perso|- Назначение человека, который мог бы заботиться о лошадях будет очень ценным
qstr_Hidden_Base:_{s4}_wa|Тайная база: {s4} был назначен кузнецом.
qstr_Hidden_Base:_troops_|Тайная база: вместимость гарнизона увеличена на 50 мест.
qstr_Bring_one_of_the_{s4|Принесите один {s4} для лагерного мастера.
qstr_Blacksmith_{s54}_has|Кузнец {s54} сделал уникальную броню для боевого коня - найдите достойное животное для ее ношения.
qstr_Visit_the_old_Pendor|Посетите старую столицу Пендора и узнайте какая порода коней может носить такую броню.
qstr_The_horse_looks_at_y|Конь внимательно смотрит на вас и вы чувствует странную мистическую связь с этим существом.
qstr_Horse_and_barding_sh|Конь и доспех будут готовы через две недели.
qstr_What_item?|Какой предмет?
qstr_I_am_a_blacksmith_an|Я кузнец и не знаю, что нужно делать с этим предметом. Возможно, Дерафш сможет вам помочь.
qstr_I_am_a_blacksmith_and|Я кузнец и не знаю, что нужно делать с этим предметом. Возможно, вам нужен специалист по коням.
qstr_I_am_just_an_apprent|Я просто ученик и у меня нет знаний для дальнейшего улучшения этого предмета.
qstr__I_have_to_add_one_d|Нужно потратить целый день для того, чтобы придать этому предмету нормальный вид.
qstr__I_would_need_an_ext|Мне нужен еще день, такие доспехи требуют большой работы.
qstr__I_am_still_not_too_|Я чувствую себя не достаточно уверенным, когда работаю с такими предметами. Ине надо сохранять осторожность.
qstr_Your_{s6}_should_be_|Ваш {s6} будет готов через {reg1} дней.{s3}{s4}{s5}
qstr_What_horse_are_you_t|О каком коне ты говоришь?
qstr_I_am_busy_enough_tak|Я полностью занят заботой об этих животных. Возможно, Харольд сможет вам помочь.
qstr_I_can_help_you_only_|Я могу помочь только с лошадьми. Вам нужен тот, кто разбирается в кузнечном ремесле.
qstr_This_animal_looks_he|Это животное выглядит слишком непокорным для меня. Вам понадобится один из лошадиных мастеров джату, чтобы обучить коня дальше. Но они живут замкнуто и не будет работать для посторонних.
qstr_I_have_to_add_5_days|Потребуется как минимум 5 дней, чтобы эта лошадь стала выглядеть прилично.
qstr_I_have_dealt_with_Ja|Когда я был ребенком, я имел дело с лошадьми джату. Я знаю несколько трюков, чтобы быстрее привести ее в порядок.
qstr_This_type_of_mount_i|Эта порода лошадей мне раньше не встречалась и мне нужно быть с ней осторожным.
qstr_You_should_be_able_t|Вы сможете сесть в седло {s6} через {reg1} дней. {s3}{s4}{s5}
qstr_Commander_everything|Командир, все в полном порядке.
qstr_Scouts_have_just_rep|Разведчики только что сообщили, что поблизости нет врагов.
qstr_Can_t_talk._I_am_on_|Не могу разговаривать. Я на посту, {reg63?господин:госпожа}.
qstr_We_are_working_hard_|Мы прилагаем максимум усилий, {reg63?господин:госпожа}.
qstr_No_time_to_talk_{reg|Нет времени на разговоры, {reg63?господин:госпожа}.
qstr_I_better_be_getting_|Я лучше заплачу за это.
qstr_The_elder_of_the_vil|Староста деревни {s3} просит вас привезти ему {reg5} мешков зерна.
qstr_The_elder_of_the_vill|Староста деревни {s13} попросил вас обучить {reg5} крестьян, чтобы противостоять бандитам.
qstr_The_elder_of_the_villa|Староста деревни {s3} просит вас пригнать ему {reg5} голов скота.
qstr_The_elder_of_the_villag|Староста деревни {s3} попросил спасти его дочь из лап {s5}.
qstr_The_elder_of_the_village|Староста деревни {s5} попросил сопроводить торговый отряд до {s3}.
qstr_{s1}_Trading_Party|Торговый отряд из {s1}
qstr_Red_Brotherhood_Ambu|Засада Красного братства
qstr_{s16}_and_{s15}|{s16} и {s15}
qstr_I_can_smell_a_fat_pu|Я чую толстый кошелек за милю. Что, если мы его немного облегчим, а?
qstr_Why_it_be_another_tr|О, приятно встретить на дороге еще одного путешественника! Однако должен предупредить, что эти края опасны для {reg63?такого доброго человека:такой доброй женщины}, как вы. Но за маленькое пожертвование мы с моими ребятами позволим вам без приключений продолжить свой путь. Вы же не против, а?
qstr_Well_well_look_at_th|Вы только посмотрите! Для вас было бы лучше отсыпать немного серебра, иначе моим мальчикам придется вас потревожить.
qstr_There_s_a_toll_for_p|Это подорожный сбор, полагающийся нам. Поэтому, если вас не затруднит, позвольте нам забрать должное их вашего кошелька...
qstr_Another_fool_come_to|Что, очередн{reg63?ой дурак:ая дура} хочет напороться на мой меч? Отлично, готовься в бою!
qstr_We_re_not_afraid_of_|Мы тебя не боимся, {reg63?парень:девка}. Самое время разбить несколько голов!
qstr_That_was_a_mistake._|Большая ошибка. Я постараюсь сделать твою смерть долгой и неприятной.
qstr_Brave_words._Let_s_s|Громкие слова. Они станут поросячьим визгом, когда я вырежу твой язык!
qstr_Bandits_like_you_nev|Такие бандиты, как ты, никогда не живут долго, чтобы учиться!
qstr_Congratulations_you_|Поздравления, ты нашел Пасхальное Яйцо!
qstr_...or_perhaps_if_you|...или, возможно, если вы позволите, я хотел бы просить, поскольку мы друзья, чтобы вы позволили мне служить вам в качестве вассала.
qstr_...I_see_that_you_ar|...Я вижу, что ты смотришь на мое оружие, мерзав{reg63?ец:ка}... освободи меня, и я дам его тебе.
qstr_Very_well_friend_I_w|Очень хорошо, друг, я приму вашу присягу на верность.
qstr_You_have_bought_a_ve|Вы приобрели очень редкого Пендорского королевского коня, в седле подобных лошадей восседали древние владыки Пендора. Поговорите с кузнецом в Тайном лагере.
qstr_You_have_found_a_ver|Вы не можете поверить своим глазам, перед вами очень редкий Пендорский королевский конь! Торговец требует за него средний мешочек с драгоценностями.
qstr_A_{s5}?_Well..._Yes_|{s5}? Ну... Да, думаю, это так. Что за странный вопрос.
qstr_Eh?_No_it_most_certa|А? Нет, определенно не {s5}. На вашем месте я бы не поверил своим глазам.
qstr_This_is_the_{reg4?to|Это {reg4?город:деревня} {s5}, {reg63?сэр:мадам}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Наш город:Наша деревня} и окружающие земли принадлежат вам, {reg63?господин:госпожа}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Нашим городом:Нашей деревней} и окружающими землями владеет {s7} из {s8}.
qstr_{s3}_and_{s5}|{s3} и {s5}
qstr_{reg20?We_mostly_pro|{reg20?В основном здесь производится {s5}:Сейчас мы ничего не производим}. Если вы хотите узнать больше, то поговорите с нашим {reg4?гильдмастером:старостой}. Он недалеко, вон там.
qstr_Question_travelers_i|Поспрашивайте путешественников в тавернах о последних действиях культа змеи.
qstr_Find_and_destroy_the|Найди и уничтожь замок культа Змеи рядом с {s8}.
qstr_{playername}|{playername}
qstr_honored_Founder|благочестивый Основатель
qstr_dear_{reg63?brother:|дорог{reg63?ой брат:ая сестра}
qstr_The_Lazy_POP_Develop|Ленивые Разработчики Пророчества Пендора
qstr_{s6}_and_{s7}|{s6} и {s7}
qstr_{s6}_and_any_{s7}_to|{s6}, а также любые {s7}
qstr_{s6}|{s6}
qstr_The_{s9}_asked_you_t|{s9} попросили тебя поохотиться на группы {s8}, настигнув и уничтожив {reg4} или больше.
qstr_Current_progress:_0/|Текущее состояние: 0/{reg4}.
qstr_You_received_a_{s11}|Вы получили {s11}!
qstr_You_received_{s11}!|Вы получили {s11}!
qstr_{s11}_joined_your_pa|{s11} присоединился к вашему отряду.
qstr_The_{s9}_asked_you_to|{s9} попросили вас выиграть турнир в {s8} во славу их ордена.
qstr_The_{s9}_asked_you_to_|{s9}попросил вас заработать {reg8} известность во славу ордена, используя только воинов ордена. Наем и освобождение заключенных невозможно во время этой миссии.^Вы получите свои войска назад, когда выполните задание.
qstr_Renown_earned_so_far:|Заработано славы: 0
qstr_Rival_Patrol|Враждебный патруль
qstr_The_{s11}_asked_you_|{s11} попросил вас одолеть {s8} патруль в районе {s10}.
qstr_Greetings_{reg63?Kin|Приветствую, {reg63?Король:Королева} {playername}.^Я капитан Герхарт, а моя компания зовется Фрейбруэрами. Мы прибыли из Меттенхайма и известны как лучшая компания наемников, которую можно нанять за деньги.
qstr_Hail_foreign_{reg63?|Привет, чужеземн{reg63?ый Король:ая Королева}. Я Тоблик, виккавийский Нетронутый, а это - верный мне отряд из отступников Виккавии.^Мы прибыли в Пендор, чтобы избежать репрессий и несправедливости со стороны женщин на нашей родине. Но здесь мы нашли еще больше несправедливости. Ваши женщины унижаются не меньше, чем наши мужчины .^Однажды реки окрасятся кровью во имя справедливости. Но до тех пор мы на стороне сильных Пендора, таких как ты.
qstr_Greetings_from_Barcl|Приветствую вас от имени лучшей компании Барклая, {reg63?Король:Королева} {playername}!^Меня зовут Веласко Перфекта Бандерас Дюранте, капитан Первого Гвардейского полка, зовите меня просто Веласко. Здесь, в Пендоре мы ищем подлого беглеца Руфио, чтобы принесите его голову к императору.^В то же время, мы рады взяться за работу, которую мы знаем лучше всего - убийства.
qstr_Hail_{reg63?King:Que|Приветствую, {reg63?Король:Королева}^ Нам сказали, что вы приложили усилия, чтобы помочь нам мелитайнцам в Пендоре, так вот и мы! Я на задании здесь с моей компанией. Мы расследуем определенные действия со стороны культа Змеи, но мы не подготовлены к встречи с ними в одиночку.^Мы поможем вам, и будем наблюдать. Всегда настороже.
qstr_Good_day_{reg63?King|Добрый день, {reg63?Король:Королева} {playername}! Вы решили нанять не просто отряд, а гордость всего Марлеона ^ Я Старший Лев, командир лучших наездников в Сарлеоне. Войск Первого Баннерета Марлеона. В наших рядах состоят самые известные и гордые горожане нашего великого города. Относитесь к нам с уважением, и мы будем сметать ваших врагов с поля боя.
qstr_Greetings_your_Majes|Приветствую вас, ваше величество. Позвольте мне представиться: я Сэр Тимоти ордена Единорога, и я здесь, чтобы ответить на ваш призыв! Мои рыцари и верные последователи с радостью перейдут к вам в подчинение!
qstr_Hello_friend!_I_ve_h|Здравствуй, друг! Я слышал, вам нужно, чтобы кто-то 'наполнил' вас... э-э, то есть... усиливал ваши армии, все для блага простых людей Пендора, я надеюсь.^Я с моими испытанными в боях ребятами остановился недалеко отсюда, в поле.^За небольшую плату и справедливую часть заключенных, захваченных или спасенных, мы будем мстить вашим врагам... хе... неважно, чем они разозлили вас, ваших друзей и союзников. Или моих друзей и союзников. Мы найдем причину, я уверен.
qstr_Hail_I_am_Sir_Morcas|Приветствую, я Сэр Моркас Веррал, лидер знаменитой бригады Снежных Львов. Мы будем бороться за каждого, кто стремится к воссоединению земель Пендора. Кроме того, наша казна в последнее время оскудела, так что если вы заплатите нам, то мы предложим вам свои услуги.
qstr_Salam!_May_your_gard|Салам! Пусть ваши сады цветут, а в вашем шатре будут здоровые ребятишки.^Фируз слышал о ваших подвигах и пришел служить вам, великий шах^Он потребует лишь скромные плату золотом - сущие гроши для влиятельно друга из Сингала и скромную долю рабов.
qstr_Hazah_Jatu!_Shiruzah|Хазат Джату! Ширузах, избранный Индаром, приветствует вас.^Шизурах был ранен стрелой во время ложного отступления. Вожди объявили Ширузаха трусом и отправили в изгнание. Но та стрела была стрела Индара - я выжил и теперь он присматривает за мной. Индар направляет его избранников, и он привел меня к вам.
qstr_So_you_are_the_new_{|Итак, вы {reg63?тот новый Король:та новая Королева}, о котор{reg63?ом:ой} так много говорят.^Должен сказать, что я рад служить вам. Это не только позволяет мне утверждать, что я работал на всех правителей Пендора, но также дает мне возможность лично поблагодарить вас за все беды и несчастья, которые вы учинили. Вы понятия не имеете, насколько хорошо появление нового королевства для бизнеса.
qstr_HELLO!|ПРИВЕТСТВУЮ!
qstr_New_orders_{reg63?Si|Новые приказы, {reg63?милорд:миледи}?
qstr_Hail!_Shall_we_conve|Счастья тебе! Будем ли разговаривать о чудных несправедливостях Пендора или сегодня вечером спать после бойни, которую оставим на нашей совести?
qstr_Your_enemies_are_my_|Ваши враги - мои враги, {playername}.
qstr_Watching_and_waiting|Смотреть и ждать.
qstr_I_haven_t_seen_the_D|Я не видел герцога Марлеона так часто, как вы, {reg63?господин:госпожа}!
qstr_You_summoned_me_your|Вы вызвали меня, ваше величество? Разве Королевство снова нуждается в спасении?
qstr_Talk_to_me_my_friend|Поговори со мной, мой друг.
qstr_What_is_your_bidding|Ваши приказания, {reg63?сэр:мадам}?
qstr_Yes_Shah_Firuz_saw_t|Да, шах. Фируз увидел стервятников в небе и понял, что это сделал ты.
qstr_Lead_us_to_more_vict|Веди нас к победам, вождь, и о нашей доблести будет известно во всей степи Джату.
qstr_Hello_{playername}_w|Здравствуйте, {playername}, мы встретились снова! Любые слухи, которые вы, возможно, услышали обо мне, переходя к своим врагам, - это наглая ложь.
qstr_HELLO_AGAIN!|ПРИВЕТ СНОВА!
qstr_If_it_s_worth_doing_|Если это нужно сделать, то стоит сделать это хорошо, {reg63?милорд:миледи}.
qstr_There_s_no_task_too_|Нет слишком сложных или аморальных заданий, если цель того стоит.
qstr_Show_us_who_and_they|Покажите нам кто, и они заплатят своей кровью.
qstr_Something_needs_to_b|Что-то должно быть сделано? Мы готовы.
qstr_We_are_well_equipped|Мы хорошо вооружены и отдохнули. Что мы будем делать дальше?
qstr_Well_of_course!_How_|Ну, конечно! Чем мой орден может быть полезен?
qstr_Shall_we_help_the_vi|Стоит ли помогать ополчению деревни отражать нападения грязных фирдсвейнцев или просто унизить неуклюжих лордов.
qstr_I_hope_it_involves_k|Я надеюсь, это включает убийство предателей в килтах.
qstr_Your_wisdom_is_legen|Ваша мудрость легендарна, великий шах, но умный жеребец никогда не зашел бы в кроличью нору независимо от шпор всадника. И никогда мудрый не смотрит на небо на полном скаку.
qstr_The_Chosen_of_Indar_|Избранники Индара ждут указаний.
qstr_Well_that_is_what_yo|Ну, это то, за что вы платите нам, не так ли? Что у вас на уме?
qstr_WHAT_TASK?|КАКОЕ ЗАДАНИЕ?
qstr_Where_should_we_go_m|Куда мы идем, ми{reg63?лорд:леди}? Мы доберемся вовремя.
qstr_Where_shall_we_go_ne|Куда мы пойдем дальше, не имеет большого значения.
qstr_We_don_t_mind_travel|Мы не против путешествия через эти красивые места, но мы хотели бы быть размещены рядом с хорошим запасом вин и свободными женщинами.
qstr_We_may_need_to_get_c|Нам может понадобиться приблизиться к границам Империи, если вы ждете предложений.
qstr_I_m_familiar_with_th|Я знаком с местностью и хорошо знаю большинство торговцев.
qstr_My_knights_travel_wh|Мои рыцари путешествуют там, где мы больше всего нужны. Скажи мне, где мы сейчас пригодились бы?
qstr_Let_s_go_some_place_|Поехали куда-нибудь, где много лордов, неосторожно путешествующих по сельской местности. Наши подземелья выглядят печально и пустынно место без них!
qstr_Give_us_the_directio|Дайте нам направление, {reg63?сэр:мадам}, чем дальше на север, тем лучше.
qstr_This_land_is_wide_li|Эта земля широка, как бедра танцора, но вряд ли такая же привлекательная.
qstr_Jatu_ride_fastest_in|Джату ездят быстрее всех на равнине. Леса для бесчестных нолдоров и горожан.
qstr_Just_point_me_in_the|Просто покажите мне направление, и считайте, что все сделано.
qstr_WHERE?|ГДЕ?
qstr_Jawohl_my_{reg63?Kin|Совершенно верно, м{reg63?ой король:оя королева}, в этот же момент.
qstr_I_ll_gather_my_women|Я соберу своих людей, и мы пойдем своей дорогой.
qstr_Yes_friend._Vamos!|Да, друг. Вамос!
qstr_Very_well_{reg63?Kin|Очень хорошо, {reg63?король:королева} {playername}.
qstr_The_1st_Banneret_rid|Первый Баннерет нападает!
qstr_It_will_be_done_your|Это будет сделано, ваше величество. Даю вам слово!
qstr_Very_clever_my_{reg6|Очень умно, мой {reg63?брат:сестра}. Пошли, дадим кому-то хороший повод, чтобы использовать этот специальный лосьон.
qstr_As_you_wish._I_hope_|Как вам будет угодно. Я надеюсь, вы не возражаете, если мы убьем всех северян, случайно встретившихся на пути!
qstr_Firuz_will_oblige!_A|Фируз будет верен! До тех пока будет получать самых лучших пленных.
qstr_Jatu!_Forward_by_Ind|Джату! Вперед, за Индара!
qstr_Splendid._We_shall_s|Разделиться. Мы должны выдвинуться одновременно.
qstr_OK!|ХОРОШО!
qstr_Our_contract_is_fulf|Наш договор выполнен.^ Мы возвращаемся в Меттенхайм, будем петь песни о наших погибших товарищей и об их храбрости в бою, а также искать им замену. Мы встретимся снова, без сомнения, теперь вы знаете нашу стоимость.
qstr_Your_ways_are_foreig|Вы преследуете чужеземные интересы, {reg63?король:королева}, но мы были удовлетворены службой вам. Я могу заверить вас, что вашему золоту будет найдено хорошее применение. Прощайте!
qstr_Ah_it_is_the_hour_of|Ах, это час прощания.^Это было приятное путешествие, не так ли? Теперь мы будем искать бандита Руфио куда усердней и с куда более полными кошельками. Если вам снова будет нужна наша помощь, отправьте посыльного, и мы поднимем наши копья снова.
qstr_Of_course_we_shall_d|Конечно, нам пора уходить. Наше время истекает, и мы должны готовиться к завершению нашей миссии.^Прощай, {playername}, мы будем наблюдать за тобой тоже.
qstr_Finally_our_service_|Наконец, наш служба окончена.^Мы горды нашими достижениями, но с нетерпением ждем возвращения в Марлеон. Наша сила заключается в справедливости нашего города.^Прощай, {reg63?король:королева}, и не порть отношения с графом Марлеона, ибо испортишь и с ним.
qstr_I_understand._Please|Я все понимаю. Поверьте мне, когда я говорю, что я не испытываю удовольствия уходить с вашими деньгами, но, надеюсь, это золото и ваши поступки, помогут мне напомнить людям о величии моего ордена. У вас есть моя благодарность, ваше величество. Мы не увидимся пока что.
qstr_Very_well_my_friend!|Очень хорошо, мой друг! Я долго наслаждался перепалками глупых господ с вами, мне нужно проверить некоторых знакомых змеиной веры.^Может быть, мы еще встретимся, я всегда готов к быстрой езде.
qstr_Excellent_this_gives|Отлично, это дает нам некоторое время, чтобы бороться с этими предателями в килтах самим.
qstr_It_saddens_me_to_dep|Мне грустно уходить, но мои жены и мужья утешат меня этой ночью.^До свидания и пусть могилы ваших врагов будут затоплены!
qstr_You_are_letting_us_g|Вы позволяете нам быть свободными. Мы благодарны вам за честь, что мы заработали в этой битве...^Теперь Джату услышат голос Индара. Джату нужны законы. Я заставлю их повиноваться во имя Индара, даже если придется убить половину из них.
qstr_Really_already?_Sorr|Неужели? Сейчас? Извини, я становлюсь таким чувствительным, когда отменяют контракт. Но не волнуйтесь, есть достаточно способов, чтобы успокоить мою душу в Сингале с вашими деньгами. Я уверен, что есть еще несколько вещей, которые я мог бы показать вам в этом чудесные городе. До свидания, {playername}.
qstr_GOODBYE!|ПРОЩАЙ!
qstr_Our_professionalism_|Наш профессионализм требует уничтожать всех врагов нашего нанимателя. Попробуй стали Меттенхайма, пендорец!
qstr_Stop_unjust_brigand!|Стоять, бесчестные разбойники! Сейчас вы увидите силу виккавийских солдат, мужчин и женщин, присоединившихся к нам.
